burnin	compound_weighting	data_transform	imputation_method	impute_labels	impute_seed	lambda_beta	model_suffix	multitask_strategy	nsamples	num_latent	percent_to_delete	precision	prediction_mode	read_parameters	remove_labels	remove_seed	remove_type	seed	shuffle_labels	shuffle_seed	sn_max	target_weighting	tol	univariate	Time	1814_precision_Train	1814_precision_Test	1814_recall_Train	1814_recall_Test	1814_fscore_Train	1814_fscore_Test	1814_mcc_Train	1814_mcc_Test	2314_precision_Train	2314_precision_Test	2314_recall_Train	2314_recall_Test	2314_fscore_Train	2314_fscore_Test	2314_mcc_Train	2314_mcc_Test	485346_precision_Train	485346_precision_Test	485346_recall_Train	485346_recall_Test	485346_fscore_Train	485346_fscore_Test	485346_mcc_Train	485346_mcc_Test	504652_precision_Train	504652_precision_Test	504652_recall_Train	504652_recall_Test	504652_fscore_Train	504652_fscore_Test	504652_mcc_Train	504652_mcc_Test	743279_precision_Train	743279_precision_Test	743279_recall_Train	743279_recall_Test	743279_fscore_Train	743279_fscore_Test	743279_mcc_Train	743279_mcc_Test
315	True	None	mean	False	1234	5.0	18	all	1793	96	0.85	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	25539.742304801937	1.0	0.6180304127440001	1.0	0.388484296768	1.0	0.477082168809	1.0	0.295739117429	1.0	0.7381370826010001	1.0	0.819854991634	1.0	0.776852952834	1.0	0.435660297745	1.0	0.68932038835	1.0	0.0435315757204	1.0	0.0818915801615	1.0	0.15109609149	1.0	0.38461538461499994	1.0	0.0027670171555100004	1.0	0.005494505494510001	1.0	0.021960877498699998	1.0	0.67025862069	1.0	0.114254224835	1.0	0.19522912743299997	1.0	0.214869102092
315	True	None	mean	False	1234	5.0	19	all	1793	96	0.95	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	25598.229223251343	1.0	0.5994386527669999	1.0	0.340236686391	1.0	0.434088269454	1.0	0.257723952606	1.0	0.7200392927310001	1.0	0.817624093698	1.0	0.765735178898	1.0	0.39905410939499997	1.0	0.75	1.0	0.0294297976701	1.0	0.0566371681416	1.0	0.131844791789	1.0	0.52380952381	1.0	0.0060874377421099995	1.0	0.0120350109409	1.0	0.0441663066174	1.0	0.6	1.0	0.07604702424689999	1.0	0.134985327682	1.0	0.155659017104
315	True	None	mean	False	1234	5.0	20	all	1793	96	0.025	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	29582.04733610153	1.0	0.626817447496	1.0	0.44151115157	1.0	0.518093203365	1.0	0.329179248801	1.0	0.748093480935	1.0	0.848020078081	1.0	0.7949287674809999	1.0	0.476153177346	1.0	0.744897959184	0.999575731863	0.08951563457999999	0.9997878209209999	0.15982484948	0.999756221082	0.23005719798799998	1.0	0.6	0.996531123531	0.0215827338129	0.998262548263	0.0416666666667	0.9979760619149999	0.093513464812	1.0	0.6529774127310001	1.0	0.233651726672	1.0	0.34415584415600003	1.0	0.30598118729699997
315	True	None	mean	False	1234	5.0	21	all	1793	96	0.125	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	29447.383581638336	1.0	0.623937213865	1.0	0.4342284934	1.0	0.5120772946859999	1.0	0.32311745187	1.0	0.7450740423450001	1.0	0.848856664808	1.0	0.793586651893	1.0	0.471178410298	1.0	0.7444444444439999	1.0	0.08215818516250001	1.0	0.147984538929	1.0	0.22016036852600002	1.0	0.615384615385	0.9985106382979999	0.022136137244099997	0.9992547641859999	0.042735042735	0.9991299124590001	0.0966780572552	1.0	0.658410732714	1.0	0.23438648052900002	1.0	0.34570577079400006	1.0	0.30894840429000003
315	True	None	mean	False	1234	5.0	22	all	1793	96	0.225	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	28809.701314210888	1.0	0.6278613472860001	1.0	0.436959490214	1.0	0.515297906602	1.0	0.327806479132	1.0	0.745872569402	1.0	0.850390407139	1.0	0.794709753078	1.0	0.473925308931	1.0	0.741176470588	1.0	0.07725321888410001	1.0	0.13992226540799999	1.0	0.21273037735	1.0	0.579710144928	1.0	0.022136137244099997	1.0	0.0426439232409	1.0	0.09206264648039998	1.0	0.652663934426	1.0	0.2340191036	1.0	0.34451054624099997	1.0	0.306100647832
315	True	None	mean	False	1234	5.0	23	all	1793	96	0.325	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	29272.851794719696	1.0	0.630427577063	1.0	0.432862994993	1.0	0.513291053839	1.0	0.32793075419100004	1.0	0.7452128308329999	1.0	0.85192414947	1.0	0.795003578167	1.0	0.473935695413	1.0	0.732558139535	1.0	0.07725321888410001	1.0	0.139767054908	1.0	0.210971871194	1.0	0.552631578947	1.0	0.023242944106299998	1.0	0.0446096654275	1.0	0.0906214776734	1.0	0.657638136511	1.0	0.22299779573800002	1.0	0.333058984911	1.0	0.300393660379
315	True	None	mean	False	1234	5.0	24	all	1793	96	0.425	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	27564.314418077473	1.0	0.633184778882	1.0	0.420345926263	1.0	0.505266037478	1.0	0.323944644895	1.0	0.744447156456	1.0	0.8505298382600001	1.0	0.793960692438	1.0	0.47135557299599995	1.0	0.7350993377480001	1.0	0.0680564071122	1.0	0.12457912457900001	1.0	0.198339183174	1.0	0.5625	1.0	0.0199225235196	1.0	0.03848209513630001	1.0	0.0851337715853	1.0	0.656421514819	1.0	0.21969140338000004	1.0	0.329204514176	1.0	0.29745172385
315	True	None	mean	False	1234	5.0	25	all	1793	96	0.525	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	30114.0815706253	1.0	0.624837451235	1.0	0.43741465635	1.0	0.514591700134	1.0	0.32545862078000004	1.0	0.748631159781	1.0	0.838817624094	1.0	0.791162546028	1.0	0.46977237308700004	1.0	0.706896551724	1.0	0.0754138565297	1.0	0.136288088643	1.0	0.203156166338	1.0	0.547169811321	1.0	0.0160486995019	1.0	0.0311827956989	1.0	0.0745923702293	1.0	0.658905704307	1.0	0.207935341661	1.0	0.316112817649	1.0	0.289824580981
315	True	None	mean	False	1234	5.0	26	all	1793	96	0.625	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	29143.905006885532	1.0	0.6181336863	1.0	0.425125170687	1.0	0.50377562028	1.0	0.313714063067	1.0	0.7472788690100001	1.0	0.8328220858900001	1.0	0.787734915925	1.0	0.46256323598899995	1.0	0.722222222222	1.0	0.071735131821	1.0	0.13050752928099998	1.0	0.20114583559399998	1.0	0.685185185185	1.0	0.0204759269507	1.0	0.0397635679742	1.0	0.101160421885	1.0	0.650544135429	1.0	0.197648787656	1.0	0.303183995492	1.0	0.278584653426
315	True	None	mean	False	1234	5.0	27	all	1793	96	0.725	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	29693.661998271942	1.0	0.623840604603	1.0	0.413290851161	1.0	0.49719370294299997	1.0	0.312699875109	1.0	0.742581695255	1.0	0.8269659788060001	1.0	0.7825054423109999	1.0	0.449327902676	1.0	0.734693877551	1.0	0.0662170447578	1.0	0.121484814398	1.0	0.195531298775	1.0	0.628571428571	1.0	0.012174875484200001	1.0	0.023887079261699997	1.0	0.0728444143166	1.0	0.6317991631800001	1.0	0.166421748714	1.0	0.263448676941	1.0	0.24696096829199998
