ID	SMILES
1019733	Cc1c(NC(=O)c2nn3c(C(F)(F)F)cc(-c4ccccc4)nc3c2Cl)c(=O)n(-c2ccccc2)n1C
101991	CCCC1C(C(=O)OCC)=C(C)NC(C)=C1C(=O)OCC
1019995	COc1cc(C(=O)Oc2ccc3ccc(O)cc3c2)cc(OC)c1OC
1020005	COc1ccc(C(=O)Nc2cc(Cl)ccc2OC(=O)c2ccc(OC)cc2)cc1
1020061	CCC(CC)C(=O)Nc1cc(C(=O)NCCc2ccccc2)ccc1Cl
1020098	Cc1ccnc(NC(=O)c2ccc(Cl)c(NC(=O)c3ccccc3C)c2)c1
1020493	COc1cc(C=C2C(=O)OC(C)(C)OC2=O)ccc1OCC(=O)Nc1ccccc1
1021281	CCn1c(CNC(=O)Cc2ccc(OC)cc2)nnc1SCC(=O)NC1CCCCC1
1022059	COc1ccc(OC)c(S(=O)(=O)N(C)CC(=O)Nc2ccccc2OC)c1
1022457	N#Cc1c(-c2ccc(C(F)(F)F)cc2)cc(-c2ccccc2)[nH]c1=S
1022757	Cc1ccc(-c2cc(C(=O)NCc3ccccn3)c3ccccc3n2)cc1C
1022894	Cc1ccc(-c2cc(C(=O)N3CCN(c4ccc(F)cc4)CC3)c3ccccc3n2)o1
1022956	O=C(Nc1cccc(C(F)(F)F)c1)c1ccc(Cn2cc(Br)cn2)o1
1023160	COC(=O)c1c(NC(=O)C2CC2)sc(C(=O)Nc2ccccc2)c1C
1023312	COc1ccc(-c2cc(C(F)(F)F)c(C#N)c(SCC(=O)Nc3ccccc3C#N)n2)cc1
1023823	NS(=O)(=O)c1c(Sc2ccccc2C(=O)O)ccc2ccccc12
1025062	Cc1nc(SCC(=O)Nc2ccc(F)cc2)c(C#N)c(C)c1CC(=O)c1ccc(Br)cc1
1025226	Nc1c(C(=O)Nc2ccc(Cl)c(C(=O)O)c2)sc2nc3c(cc12)CCCC3
1025603	CN(Cc1ccccc1)S(=O)(=O)c1ccc(NS(=O)(=O)Cc2ccccc2)cc1
1025740	CCOC(=O)c1cnn(-c2ccc(C(C)C)cc2)c1NC(=O)C1CCC1
1026093	CCCN1C(=O)c2ccc(C(=O)Nc3ccccc3C(=O)O)cc2C1=O
